Day,Phase,Theme,Date,Done,Notes
1,基礎強化,開発環境準備（Anaconda / Jupyter / VSCode）,2025-08-13,TRUE,Miniconda/JupyterLab/VSCode セットアップ完了
2,基礎強化,Numpy基礎（配列・行列操作）,,FALSE,
3,基礎強化,Pandas基礎①（DataFrame操作）,,FALSE,
4,基礎強化,Pandas基礎②（データクリーニング）,,FALSE,
5,基礎強化,Matplotlib/Seaborn（データ可視化）,,FALSE,
6,基礎強化,データ型と欠損値処理,,FALSE,
7,基礎強化,統計基礎①（平均・分散・標準偏差）,,FALSE,
8,基礎強化,統計基礎②（確率・分布）,,FALSE,
9,基礎強化,線形代数①（ベクトル・行列）,,FALSE,
10,基礎強化,線形代数②（行列計算と逆行列）,,FALSE,
11,基礎強化,微分基礎（損失関数の微分）,,FALSE,
12,基礎強化,確率・統計の応用（仮説検定）,,FALSE,
13,基礎強化,Scikit-learn概要,,FALSE,
14,基礎強化,"データセット取得（CSV, API, Kaggle）",,FALSE,
15,基礎強化,ミニプロジェクト①（小規模データ分析）,,FALSE,
16,ML基礎,MLの種類（教師あり/なし/強化学習）,,FALSE,
17,ML基礎,回帰①（単回帰分析）,,FALSE,
18,ML基礎,回帰②（重回帰分析）,,FALSE,
19,ML基礎,"評価指標（RMSE, MAE, R²）",,FALSE,
20,ML基礎,分類①（ロジスティック回帰）,,FALSE,
21,ML基礎,分類②（決定木）,,FALSE,
22,ML基礎,分類③（ランダムフォレスト）,,FALSE,
23,ML基礎,"評価指標（Precision, Recall, F1）",,FALSE,
24,ML基礎,k近傍法（KNN）,,FALSE,
25,ML基礎,サポートベクターマシン（SVM）,,FALSE,
26,ML基礎,クラスタリング①（K-means）,,FALSE,
27,ML基礎,クラスタリング②（階層的クラスタリング）,,FALSE,
28,ML基礎,次元削減（PCA）,,FALSE,
29,ML基礎,ハイパーパラメータ調整（GridSearchCV）,,FALSE,
30,ML基礎,ミニプロジェクト②（回帰＋分類）,,FALSE,
31,ML基礎,Kaggleタイタニック①（前処理）,,FALSE,
32,ML基礎,Kaggleタイタニック②（モデル作成）,,FALSE,
33,ML基礎,Kaggleタイタニック③（評価改善）,,FALSE,
34,ML基礎,Kaggleタイタニック④（特徴量エンジニアリング）,,FALSE,
35,ML基礎,Kaggleタイタニック⑤（最終提出）,,FALSE,
36,AI基礎,深層学習概要,,FALSE,
37,AI基礎,パーセプトロン,,FALSE,
38,AI基礎,"活性化関数（ReLU, Sigmoid）",,FALSE,
39,AI基礎,損失関数と最適化（勾配降下法）,,FALSE,
40,AI基礎,TensorFlow/Keras概要,,FALSE,
41,AI基礎,全結合NN①（MNIST分類）,,FALSE,
42,AI基礎,全結合NN②（精度改善）,,FALSE,
43,AI基礎,過学習とドロップアウト,,FALSE,
44,AI基礎,CNN①（畳み込みの仕組み）,,FALSE,
45,AI基礎,CNN②（CIFAR-10分類）,,FALSE,
46,AI基礎,"転移学習（VGG, ResNet）",,FALSE,
47,AI基礎,RNN①（時系列処理）,,FALSE,
48,AI基礎,RNN②（LSTM予測）,,FALSE,
49,AI基礎,NLP①（テキスト前処理）,,FALSE,
50,AI基礎,NLP②（文章分類）,,FALSE,
51,AI基礎,Word2Vec,,FALSE,
52,AI基礎,BERT概要,,FALSE,
53,AI基礎,Hugging Face利用,,FALSE,
54,AI基礎,ミニプロジェクト③（画像/NLP）,,FALSE,
55,AI基礎,同上（継続）,,FALSE,
56,AI基礎,同上（継続）,,FALSE,
57,AI基礎,同上（継続）,,FALSE,
58,AI基礎,同上（継続）,,FALSE,
59,AI基礎,同上（継続）,,FALSE,
60,AI基礎,同上（完成）,,FALSE,
61,応用,Kaggle実践①（データ取得・EDA）,,FALSE,
62,応用,Kaggle実践②（モデル構築）,,FALSE,
63,応用,Kaggle実践③（精度改善）,,FALSE,
64,応用,Kaggle実践④（アンサンブル）,,FALSE,
65,応用,Kaggle実践⑤（提出）,,FALSE,
66,応用,画像分類アプリ①（構想）,,FALSE,
67,応用,画像分類アプリ②（実装）,,FALSE,
68,応用,テキスト感情分析アプリ①（構想）,,FALSE,
69,応用,テキスト感情分析アプリ②（実装）,,FALSE,
70,応用,時系列データ予測①（構想）,,FALSE,
71,応用,時系列データ予測②（実装）,,FALSE,
72,応用,上記プロジェクト改善,,FALSE,
73,応用,上記プロジェクト改善,,FALSE,
74,応用,上記プロジェクト改善,,FALSE,
75,応用,上記プロジェクト改善,,FALSE,
76,応用,上記プロジェクト改善,,FALSE,
77,応用,上記プロジェクト改善,,FALSE,
78,応用,上記プロジェクト改善,,FALSE,
79,応用,上記プロジェクト改善,,FALSE,
80,応用,上記プロジェクト改善,,FALSE,
81,応用,上記プロジェクト改善,,FALSE,
82,応用,上記プロジェクト改善,,FALSE,
83,応用,上記プロジェクト改善,,FALSE,
84,応用,上記プロジェクト改善,,FALSE,
85,応用,上記プロジェクト改善,,FALSE,
86,仕上げ,オリジナル企画立案,,FALSE,
87,仕上げ,データ準備・前処理,,FALSE,
88,仕上げ,モデル構築①,,FALSE,
89,仕上げ,モデル構築②,,FALSE,
90,仕上げ,モデル評価,,FALSE,
91,仕上げ,Web化（Flask/Streamlit）①,,FALSE,
92,仕上げ,Web化（Flask/Streamlit）②,,FALSE,
93,仕上げ,UI改善,,FALSE,
94,仕上げ,機能追加,,FALSE,
95,仕上げ,最終モデル精度調整,,FALSE,
96,仕上げ,GitHub公開準備,,FALSE,
97,仕上げ,README作成,,FALSE,
98,仕上げ,成果発表資料作成,,FALSE,
99,仕上げ,発表リハーサル,,FALSE,
100,仕上げ,発表・公開,,FALSE,
